2026-05-22 18:34:15 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 18:34:15 | WARNING | rag | DEEPSEEK_API_KEY 未设置，API 调用将失败
2026-05-22 18:34:15 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 18:34:15 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 18:34:15 | INFO  | rag | ✅ 启动完成
2026-05-22 18:34:33 | INFO  | rag | RAG 问答系统关闭
2026-05-22 18:34:33 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 18:34:33 | WARNING | rag | DEEPSEEK_API_KEY 未设置，API 调用将失败
2026-05-22 18:34:33 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 18:34:33 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 18:34:33 | INFO  | rag | ✅ 启动完成
2026-05-22 18:34:51 | INFO  | rag | RAG 问答系统关闭
2026-05-22 18:34:52 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 18:34:52 | WARNING | rag | DEEPSEEK_API_KEY 未设置，API 调用将失败
2026-05-22 18:34:52 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 18:34:52 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 18:34:52 | INFO  | rag | ✅ 启动完成
2026-05-22 18:35:01 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 18:35:01 | WARNING | rag | DEEPSEEK_API_KEY 未设置，API 调用将失败
2026-05-22 18:35:01 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 18:35:01 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 18:35:01 | INFO  | rag | ✅ 启动完成
2026-05-22 18:35:31 | ERROR | rag | 检索失败: No module named 'sentence_transformers'
2026-05-22 18:35:31 | ERROR | rag | QUERY [retrieve_error] 测试问题... → No module named 'sentence_transformers'
2026-05-22 18:35:31 | INFO  | rag | QUERY [ok] [9852ms] 测试问题... → 0 sources
2026-05-22 18:40:54 | INFO  | rag | 📄 加载文档: 招股说明书1-无水印.pdf
2026-05-22 18:41:10 | INFO  | rag |    解析完成: 333 页
2026-05-22 18:41:24 | INFO  | rag |    分块完成: 829 块
2026-05-22 18:41:24 | INFO  | rag | 🧠 向量化中...
2026-05-22 18:43:33 | INFO  | rag | RAG 问答系统关闭
2026-05-22 18:43:33 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 18:43:33 | WARNING | rag | DEEPSEEK_API_KEY 未设置，API 调用将失败
2026-05-22 18:43:33 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 18:43:33 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 18:43:33 | INFO  | rag | ✅ 启动完成
2026-05-22 18:43:39 | INFO  | rag | RAG 问答系统关闭
2026-05-22 18:43:40 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 18:43:40 | WARNING | rag | DEEPSEEK_API_KEY 未设置，API 调用将失败
2026-05-22 18:43:40 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 18:43:40 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 18:43:40 | INFO  | rag | ✅ 启动完成
2026-05-22 18:43:49 | INFO  | rag | RAG 问答系统关闭
2026-05-22 18:43:49 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 18:43:49 | WARNING | rag | DEEPSEEK_API_KEY 未设置，API 调用将失败
2026-05-22 18:43:49 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 18:43:49 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 18:43:49 | INFO  | rag | ✅ 启动完成
2026-05-22 18:48:17 | INFO  | rag | 📄 加载文档: 招股说明书1-无水印.pdf
2026-05-22 18:48:34 | INFO  | rag |    解析完成: 333 页
2026-05-22 18:48:48 | INFO  | rag |    分块完成: 829 块
2026-05-22 18:48:48 | INFO  | rag | 🧠 向量化中...
2026-05-22 18:48:48 | INFO  | rag | 加载 Embedding 模型: D:\models\bge-m3 (device=cuda)
2026-05-22 19:25:47 | INFO  | rag | 📄 加载文档: 招股说明书1-无水印.pdf
2026-05-22 19:26:02 | INFO  | rag |    解析完成: 333 页
2026-05-22 19:26:16 | INFO  | rag |    分块完成: 829 块
2026-05-22 19:26:16 | INFO  | rag | 🧠 向量化中...
2026-05-22 19:26:16 | INFO  | rag | 加载 Embedding 模型: D:\models\bge-m3 (device=cuda)
2026-05-22 19:26:41 | INFO  | rag |    向量化完成: 829 条 (dim=1024)
2026-05-22 19:26:41 | INFO  | rag | 🗄️  Milvus 入库中...
2026-05-22 19:31:21 | INFO  | rag | 📄 加载文档: 招股说明书1-无水印.pdf
2026-05-22 19:31:37 | INFO  | rag |    解析完成: 333 页
2026-05-22 19:31:48 | INFO  | rag |    分块完成: 829 块
2026-05-22 19:31:48 | INFO  | rag | 🧠 向量化中...（共 829 条）
2026-05-22 19:31:48 | INFO  | rag | 加载 Embedding 模型: D:\models\bge-m3 (device=cuda)
2026-05-22 19:32:16 | INFO  | rag |    向量化完成: 829 条 (dim=1024)
2026-05-22 19:32:16 | INFO  | rag | 🗄️  Milvus 入库中...
2026-05-22 19:32:16 | WARNING | rag | Milvus schema 不匹配，重建 Collection
  现有: ['id', 'source', 'domain', 'title', 'role', 'keywords', 'content', 'vector_text', 'embedding']
  期望: ['id', 'vector', 'text', 'page_no', 'source_file', 'chunk_index']
2026-05-22 19:32:16 | INFO  | rag | Milvus Collection 'pdf_chunks' 已创建
2026-05-22 19:34:00 | INFO  | rag | 📄 加载文档: 招股说明书1-无水印.pdf
2026-05-22 19:34:15 | INFO  | rag |    解析完成: 333 页
2026-05-22 19:34:24 | INFO  | rag |    分块完成: 829 块
2026-05-22 19:34:24 | INFO  | rag | 🧠 向量化中...（共 829 条）
2026-05-22 19:34:24 | INFO  | rag | 加载 Embedding 模型: D:\models\bge-m3 (device=cuda)
2026-05-22 19:34:51 | INFO  | rag |    向量化完成: 829 条 (dim=1024)
2026-05-22 19:34:51 | INFO  | rag | 🗄️  Milvus 入库中...
2026-05-22 19:34:51 | WARNING | rag | Milvus schema 不匹配，重建 Collection
  现有字段: ['id', 'vector', 'text', 'page_no', 'source_file', 'chunk_index'] dim={768}
  期望字段: ['id', 'vector', 'text', 'page_no', 'source_file', 'chunk_index'] dim=1024
2026-05-22 19:34:51 | INFO  | rag | Milvus Collection 'pdf_chunks' 已创建
2026-05-22 19:35:02 | INFO  | rag |    入库完成: 829 条 (总计: 829)
2026-05-22 19:35:02 | INFO  | rag | 🔍 构建 BM25 索引...
2026-05-22 19:35:03 | INFO  | rag |    BM25 索引已保存: D:\Desktop\rag-hermes\teams\team\project\data\bm25_index.pkl
2026-05-22 19:35:03 | INFO  | rag | ✅ 入库完成！文档《招股说明书1-无水印.pdf》已就绪
2026-05-22 20:35:36 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 20:35:36 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 20:35:36 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 20:35:36 | INFO  | rag | ✅ 启动完成
2026-05-22 20:35:36 | INFO  | rag | RAG 问答系统关闭
2026-05-22 20:51:53 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 20:51:53 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 20:51:53 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 20:51:53 | INFO  | rag | ✅ 启动完成
2026-05-22 20:51:53 | INFO  | rag | RAG 问答系统关闭
2026-05-22 20:52:26 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 20:52:26 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 20:52:26 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 20:52:26 | INFO  | rag | ✅ 启动完成
2026-05-22 20:54:26 | INFO  | rag | RAG 问答系统关闭
2026-05-22 20:54:42 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 20:54:42 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 20:54:42 | WARNING | rag |   Milvus: ❌ 不可用（检索将不可用）
2026-05-22 20:54:42 | INFO  | rag | ✅ 启动完成
2026-05-22 20:55:11 | INFO  | rag | RAG 问答系统关闭
2026-05-22 20:57:11 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 20:57:11 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
2026-05-22 20:57:11 | WARNING | rag |   Milvus: ❌ 不可用 — name '_milvus' is not defined
2026-05-22 20:57:11 | INFO  | rag | ✅ 启动完成
2026-05-22 20:58:06 | INFO  | rag | RAG 问答系统关闭
2026-05-22 20:58:20 | INFO  | rag | RAG 问答系统启动中...
2026-05-22 20:58:20 | INFO  | rag |   Redis: ✅ connected (localhost:6379)
